"SUID","BRENDA ID","CAZY Name","Class","Description","EC","Family","Gene Name","Genus","GO Term","HMP Body Site","HMP Oxygen","InterPro (Domain)","InterPro (Family)","InterPro (Homologous Superfamily)","InterPro (Other)","KEGG ID","Kingdom","name","NCBI IDs","Order","Organism","P01 gDNA","PATRIC ID","PDB","PFAM","Phylum","selected","Sequence Length","Sequence Source","shared name","Species","STRING ID","Superkingdom","Swissprot Description","Taxonomy ID","UniProt Annotation Status"
"2350794","None","None","Clostridia","Putative glucuronyl hydrolase ","None","Clostridiaceae","CPF_0400","Clostridium","0016787 hydrolase activity","Not Specified","Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","cpf:CPF_0400","NA","A0A0H2YP09","GI:110673489|GI:489550684|EMBL-CDS:ABG82476.1|REFSEQ:WP_003455311.1","Clostridiales","Clostridium perfringens  (strain ATCC 13124 / DSM 756 / JCM 1290 /NCIMB 6125 / NCTC 8237 / Type A)","True","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A0H2YP09","Clostridium perfringens ATCC 13124","195103.CPF_0400","Bacteria","NA","195103","TrEMBL"
"2350795","None","None","Clostridia","Putative glucuronyl hydrolase ","None","Clostridiaceae","AC1_0435","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","B1R475","GI:170712790|GI:489550684|EMBL-CDS:EDT24972.1|REFSEQ:WP_003455311.1","Clostridiales","Clostridium perfringens B str. ATCC 3626.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","B1R475","Clostridium perfringens B str. ATCC 3626","None","Bacteria","NA","451754","TrEMBL"
"2350796","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","CYK68_11325","Clostridium","0016787 hydrolase activity","Skin|Gastrointestinal tract","Anaerobe,Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A317TB24","EMBL-CDS:PWX08094.1","Clostridiales","Clostridium perfringens.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A317TB24","Clostridium perfringens","None","Bacteria","NA","1502","TrEMBL"
"2350797","None","None","Clostridia","Putative unsaturated glucuronyl hydrolase ","None","Clostridiaceae","HMPREF3222_00095","Clostridium","0016787 hydrolase activity","Skin|Gastrointestinal tract","Anaerobe,Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A133NEZ1","GI:985331285|GI:985496957|EMBL-CDS:KXA14849.1|REFSEQ:WP_060794376.1","Clostridiales","Clostridium perfringens.","False","fig|1502.174.peg.97","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A133NEZ1","Clostridium perfringens","None","Bacteria","NA","1502","TrEMBL"
"2350798","None","GH88","Clostridia","Putative glucuronyl hydrolase ","None","Clostridiaceae","CPR_0396","Clostridium","0016787 hydrolase activity","Not Specified","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","cpr:CPR_0396","NA","Q0SVX5","GI:110684294|EMBL-CDS:ABG87664.1","Clostridiales","Clostridium perfringens  (strain SM101 / Type A)","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","Q0SVX5","Clostridium perfringens SM101","None","Bacteria","NA","289380","TrEMBL"
"2350799","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","CP523_03945","Clostridium","0016787 hydrolase activity","Not Specified","Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A386PD09","GI:1054915200|GI:1484372253|EMBL-CDS:AYE33680.1|REFSEQ:WP_066675526.1","Clostridiales","Clostridium septicum.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A386PD09","Clostridium septicum","None","Bacteria","NA","1504","TrEMBL"
"2350800","None","None","Clostridia","Putative glucuronyl hydrolase ","None","Clostridiaceae","CCH01_018040","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","S6ETH0","GI:546549528|EMBL-CDS:CDG02510.1|EMBL-CDS:SLK21623.1|REFSEQ:WP_021876453.1","Clostridiales","Clostridium chauvoei JF4335.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","S6ETH0","Clostridium chauvoei JF4335","None","Bacteria","NA","1351755","TrEMBL"
"2350801","None","None","Clostridia","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SCJ07216.1}","Clostridiaceae","SAMEA3545416_00905","Clostridium","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1C6DFE9","EMBL-CDS:SCJ07216.1","Clostridiales","uncultured Clostridium sp.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A1C6DFE9","uncultured Clostridium sp.","None","Bacteria","NA","59620","TrEMBL"
"2350802","None","None","Clostridia","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SCH84680.1}","Clostridiaceae","SAMEA3545325_01768","Clostridium","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1C5TF87","EMBL-CDS:SCH84680.1","Clostridiales","uncultured Clostridium sp.","False","None","None","PF07470","Firmicutes","false","407","BLASTHIT","A0A1C5TF87","uncultured Clostridium sp.","None","Bacteria","NA","59620","TrEMBL"
"2350803","None","None","Clostridia","Glycosyl Hydrolase Family 88 family protein ","None","Clostridiaceae","U729_2958","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","cbv:U729_2958","NA","A0A0A7FSS2","GI:728872018|GI:746268427|EMBL-CDS:AIY82679.1|REFSEQ:WP_039316313.1","Clostridiales","Clostridium baratii str. Sullivan.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A0A7FSS2","Clostridium baratii str. Sullivan","None","Bacteria","NA","1415775","TrEMBL"
"2350804","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","Z955_04125","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0A0IH19","GI:699761136|EMBL-CDS:KGN00258.1","Clostridiales","Clostridium botulinum C/D str. DC5.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A0A0IH19","Clostridium botulinum C/D str. DC5","None","Bacteria","NA","1443128","TrEMBL"
"2350805","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","ADU76_11175","Clostridium","0016787 hydrolase activity","Not Specified","Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0L7NNZ0","GI:914447637|GI:914462989|GI:844757065|GI:914840343|EMBL-CDS:KOA91497.1|REFSEQ:WP_047930317.1","Clostridiales","Clostridium botulinum.","False","fig|1491.427.peg.803","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A0L7NNZ0","Clostridium botulinum","None","Bacteria","NA","1491","TrEMBL"
