SUID,BRENDA ID,CAZY Name,Class,Description,EC,Family,Gene Name,Genus,GO Term,HMPBodySite,HMP Oxygen,InterPro (Other),KEGG ID,Kingdom,List of IDs in Rep Node,name,NCBI IDs,Number of IDs in Rep Node,Order,Organism,P01 gDNA,PATRIC ID,PDB,PFAM,Phylum,selected,Sequence Length,Sequence Source,shared name,Species,STRING ID,Superkingdom,Swissprot Description,Taxonomy ID,UniProt Annotation Status
372673,None,None,Arachnida,NosZ ,None,Araneidae,NCL1_24485,Nephila,0005509 calcium ion binding|0005507 copper ion binding|0050304 nitrous-oxide reductase activity,None,None,IPR006626|IPR006633|IPR007742|IPR008972|IPR011045|IPR011050|IPR012334|IPR015943|IPR023644|IPR026464,None,Metazoa,A0A2P6KXL5,A0A2P6KXL5,EMBL-CDS:PRD31079.1,1,Araneae,Nephila clavipes ,FALSE,None,None,PF05048|PF18764|PF18793,Arthropoda,FALSE,994,BLASTHIT,A0A2P6KXL5,Nephila clavipes,None,Eukaryota,NA,6915,TrEMBL
372674,None,None,NA,Cytochrome C ,None,NA,B7C24_02870,NA,0009055 electron transfer activity|0020037 heme binding|0005506 iron ion binding,None,None,IPR002323|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR036909,None,NA,A0A256WPX6,A0A256WPX6,GI:1231952655|EMBL-CDS:OYT17400.1,1,NA,Bacteroidetes bacterium 4572_77.,FALSE,None,None,PF00034|PF13442|PF18764,Bacteroidetes,FALSE,900,BLASTHIT,A0A256WPX6,Bacteroidetes bacterium 4572_77,None,Bacteria,NA,1972459,TrEMBL
372675,None,None,Epsilonproteobacteria,Nitrous-oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:EHP30866.1},Helicobacteraceae,SMGD1_2343,Sulfurimonas,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR036909,None,NA,B6BML7,B6BML7,GI:372470662|GI:495614657|GI:207084194|EMBL-CDS:EHP30866.1|REFSEQ:WP_008339236.1,1,Campylobacterales,Sulfurimonas gotlandica  (strain DSM 19862 / JCM 16533 / GD1),FALSE,fig|929558.5.peg.2333,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,875,BLASTHIT,B6BML7,Sulfurimonas gotlandica GD1,None,Bacteria,NA,929558,TrEMBL
372676,None,None,Epsilonproteobacteria,Nitrous oxide reductase apoprotein ,1.7.2.4 {ECO:0000313|EMBL:ADV45765.1},NA,Nitsa_0495,Nitratifractor,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,nsa:Nitsa_0495,NA,E6X0P5,E6X0P5,GI:319418655|GI:503318800|EMBL-CDS:ADV45765.1|REFSEQ:WP_013553461.1,1,Campylobacterales,Nitratifractor salsuginis  (strain DSM 16511 / JCM 12458 / E9I37-1),FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,868,BLASTHIT,E6X0P5,Nitratifractor salsuginis DSM 16511,749222.Nitsa_0495,Bacteria,NA,749222,TrEMBL
372677,None,None,Epsilonproteobacteria,Nitrous-oxide reductase NosZ ,1.7.2.4 {ECO:0000313|EMBL:BAF70894.1},NA,NIS_1789,Nitratiruptor,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,nis:NIS_1789,NA,A6Q5Y5,A6Q5Y5,GI:151423390|EMBL-CDS:BAF70894.1,1,NA,Nitratiruptor sp.  (strain SB155-2),FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,867,BLASTHIT,A6Q5Y5,Nitratiruptor sp. SB155-2,387092.NIS_1789,Bacteria,NA,387092,TrEMBL
372678,None,None,Epsilonproteobacteria,Cytochrome C ,None,Campylobacteraceae,B6D59_07410,NA,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1Y1R940,A0A1Y1R940,GI:1176155778|EMBL-CDS:OQX72814.1,1,Campylobacterales,Campylobacteraceae bacterium 4484_4.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,867,BLASTHIT,A0A1Y1R940,Campylobacteraceae bacterium 4484_4,None,Bacteria,NA,1970775,TrEMBL
372679,None,None,Epsilonproteobacteria,Nitrous-oxide reductase NosZ ,1.7.2.4 {ECO:0000313|EMBL:ATB69112.1},Campylobacteraceae,SJPD1_1000,Sulfurospirillum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,sulj:SJPD1_1000,NA,A0A290HC31,A0A290HC31,GI:1243309796|EMBL-CDS:ATB69112.1,1,Campylobacterales,Sulfurospirillum sp. JPD-1.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,867,BLASTHIT,A0A290HC31,Sulfurospirillum sp. JPD-1,None,Bacteria,NA,220622,TrEMBL
372680,None,None,NA,Nitrous-oxide reductase ,1.7.2.4 {ECO:0000313|EMBL:SFV63643.1},NA,MNB_SV,NA,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,None,NA,A0A1W1CD65,A0A1W1CD65,EMBL-CDS:SFV63643.1,1,NA,hydrothermal vent metagenome.,FALSE,None,None,PF00034|PF13473|PF18764,NA,FALSE,867,BLASTHIT,A0A1W1CD65,hydrothermal vent metagenome,None,NA,NA,652676,TrEMBL
372681,None,None,Epsilonproteobacteria,Nitrous oxide reductase apoprotein ,None,NA,SAMN05660197_0352,Nitratiruptor,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR034205|IPR036909,None,NA,A0A1W1WQW3,A0A1W1WQW3,EMBL-CDS:SMC08595.1,1,NA,Nitratiruptor tergarcus DSM 16512.,FALSE,None,None,PF00034|PF00116|PF18764,Proteobacteria,FALSE,867,BLASTHIT,A0A1W1WQW3,Nitratiruptor tergarcus DSM 16512,None,Bacteria,NA,1069081,TrEMBL
372682,None,None,Epsilonproteobacteria,Nitrous-oxide reductase NosZ ,1.7.2.4 {ECO:0000313|EMBL:ARU48147.1},Campylobacteraceae,Sdiek1_0981,Sulfurospirillum,0005507 copper ion binding|0004129 cytochrome-c oxidase activity|0020037 heme binding|0050304 nitrous-oxide reductase activity,None,None,IPR002429|IPR008972|IPR009056|IPR011045|IPR015943|IPR026468|IPR028096|IPR034205|IPR036909,suls:Sdiek1_0981,NA,A0A1Y0HJ64,A0A1Y0HJ64,GI:1199166390|EMBL-CDS:ARU48147.1,1,Campylobacterales,Sulfurospirillum sp. SL2-1.,FALSE,None,None,PF00034|PF13473|PF18764,Proteobacteria,FALSE,867,BLASTHIT,A0A1Y0HJ64,Sulfurospirillum sp. SL2-1,None,Bacteria,NA,1986224,TrEMBL
