SUID,BRENDA ID,CAZY Name,Class,Description,EC,Family,Gene Name,Genus,GO Term,HMP Body Site,HMP Oxygen,InterPro (Domain),InterPro (Family),InterPro (Homologous Superfamily),InterPro (Other),KEGG ID,Kingdom,name,NCBI IDs,Order,Organism,P01 gDNA,PATRIC ID,PDB,PFAM,Phylum,selected,Sequence Length,Sequence Source,shared name,Species,STRING ID,Superkingdom,Swissprot Description,Taxonomy ID,UniProt Annotation Status
1431606,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:COI61977.1},Streptococcaceae,ERS020827_00760,Streptococcus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin|Not Specified|Oral,"Anaerobe,Facultative",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0T8EXM3,EMBL-CDS:CJB60172.1|EMBL-CDS:CJG50299.1|EMBL-CDS:CJI82743.1|EMBL-CDS:CJJ19064.1|EMBL-CDS:CJN56642.1|EMBL-CDS:COI61977.1|EMBL-CDS:COQ48478.1,Lactobacillales,Streptococcus pneumoniae.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0T8EXM3,Streptococcus pneumoniae,,Bacteria,,1313,TrEMBL
1431610,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,BJG91_22150,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A1Y0TUZ5,GI:1078577690|GI:446067895|GI:1546957524|GI:1200870843|EMBL-CDS:ARV95210.1|REFSEQ:WP_000145750.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A1Y0TUZ5,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431617,,,Gammaproteobacteria,6-phospho-beta-glucosidase ,,Enterobacteriaceae,C4J69_15075,Escherichia,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Airways|Skin|Gastrointestinal tract|Not Specified|Urogenital tract,"Facultative,Not Specified",IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A2S5ZLD1,GI:446067895|EMBL-CDS:PPI92451.1|REFSEQ:WP_000145750.1,Enterobacterales,Escherichia coli.,FALSE,,,PF02056|PF11975,Proteobacteria,FALSE,441,BLASTHIT,A0A2S5ZLD1,Escherichia coli,,Bacteria,,562,TrEMBL
1431618,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,DG757_22735,Bacillus,,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A3D5U360,EMBL-CDS:HCX51769.1,Bacillales,Bacillus sp.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A3D5U360,Bacillus sp. (in: Bacteria),,Bacteria,,1409,TrEMBL
1431634,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ANS51299.1},Bacillaceae,AC241_25845,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A0K0QJL6,GI:896578930|GI:1043721308|GI:446067886|EMBL-CDS:AKR12030.1|EMBL-CDS:ANS51299.1|EMBL-CDS:PFV32958.1|EMBL-CDS:PWN14437.1|REFSEQ:WP_000145741.1,Bacillales,Bacillus thuringiensis.,FALSE,fig|1428.317.peg.5188,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A0K0QJL6,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431641,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,BK775_35360,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,bthy:AQ980_03280,,A0A1B1SRD4,GI:1134399829|GI:1046285392|GI:1194216930|GI:446067907|GI:1154370666|GI:1190191971|GI:1221297578|GI:944300475|GI:1203239906|GI:1078575471|GI:1016869348|GI:827034933|GI:595880016|GI:1078575962|GI:1078591945|EMBL-CDS:ARP60514.1|EMBL-CDS:OUA13942.1|EMBL-CDS:PED15559.1|EMBL-CDS:PFT98241.1|EMBL-CDS:PGN59078.1|EMBL-CDS:PGW54100.1|EMBL-CDS:PNK53875.1|EMBL-CDS:PRT28932.1|REFSEQ:WP_000145762.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A1B1SRD4,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431657,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,CN411_08690,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A2B8ILD1,EMBL-CDS:PEU90806.1|EMBL-CDS:PFI11577.1|EMBL-CDS:PFJ43324.1,Bacillales,Bacillus thuringiensis.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A2B8ILD1,Bacillus thuringiensis,,Bacteria,,1428,TrEMBL
1431664,,,Bacilli,6-phospho-beta-glucosidase ,,Bacillaceae,DEU03_13965,Bacillus,0004553 hydrolase activity  hydrolyzing O-glycosyl compounds|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Skin,Microaerophilic,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,A0A348G6S3,EMBL-CDS:BBF98482.1|EMBL-CDS:HCF54215.1,Bacillales,Bacillus sp.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,A0A348G6S3,Bacillus sp. (in: Bacteria),,Bacteria,,1409,TrEMBL
1431668,,,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:EDZ52086.1},Bacillaceae,BCAH1134_5294,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Eye,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,,,B5UQ02,GI:206734917|GI:446067907|EMBL-CDS:EDZ52086.1|REFSEQ:WP_000145762.1,Bacillales,Bacillus cereus AH1134.,FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,B5UQ02,Bacillus cereus AH1134,,Bacteria,,405533,TrEMBL
1431669,,GH4,Bacilli,6-phospho-beta-glucosidase ,3.2.1.86 {ECO:0000313|EMBL:ACK59337.1},Bacillaceae,BCB4264_A5328,Bacillus,0008706 6-phospho-beta-glucosidase activity|0103047 methyl beta-D-glucoside 6-phosphate glucohydrolase activity|0016616 oxidoreductase activity  acting on the CH-OH group of donors  NAD or NADP as acceptor,Blood,Facultative,IPR022616,IPR001088,IPR015955|IPR036291,IPR019802,bcb:BCB4264_A5328,,B7HEK9,GI:446067907|GI:218159345|EMBL-CDS:ACK59337.1|REFSEQ:WP_000145762.1,Bacillales,Bacillus cereus  (strain B4264),FALSE,,,PF02056|PF11975,Firmicutes,FALSE,441,BLASTHIT,B7HEK9,Bacillus cereus B4264,,Bacteria,,405532,TrEMBL
