SUID,BRENDA ID,CAZY Name,Class,Description,EC,Family,Gene Name,Genus,GO Term,HMP Body Site,HMP Oxygen,InterPro (Domain),InterPro (Family),InterPro (Homologous Superfamily),InterPro (Other),KEGG ID,Kingdom,name,NCBI IDs,Order,Organism,P01 gDNA,PATRIC ID,PDB,PFAM,Phylum,selected,Sequence Length,Sequence Source,shared name,Species,STRING ID,Superkingdom,Swissprot Description,Taxonomy ID,UniProt Annotation Status
2350819,"","",Clostridia,Glycosyl hydrolase| family 88,3.2.1.- {ECO:0000313|EMBL:EEG54664.1},Lachnospiraceae,CLOSTASPAR_03265,Lachnoclostridium,0016798 hydrolase activity  acting on glycosyl bonds,Gastrointestinal tract,Obligate anaerobe,,IPR010905,IPR008928|IPR012341,,"",,C0D1X6,GI:225044418|GI:494986471|EMBL-CDS:EEG54664.1|REFSEQ:WP_007712493.1,Clostridiales,[Clostridium] asparagiforme DSM 15981.,TRUE,"","",PF07470,Firmicutes,FALSE,396,BLASTHIT,C0D1X6,[Clostridium] asparagiforme DSM 15981,"",Bacteria,"",518636,TrEMBL
2350834,"",GH88,Clostridia,Uncharacterized protein,"",Lachnospiraceae,CLOBOL_05098,Lachnoclostridium,0003824 catalytic activity,Gastrointestinal tract,Anaerobe,,IPR010905,IPR008928|IPR012341,,"",,A8RYD9,GI:158436789|GI:488632859|EMBL-CDS:EDP14556.1|REFSEQ:WP_002569543.1,Clostridiales,Clostridium bolteae  (strain ATCC BAA-613 / WAL 16351),TRUE,"","",PF07470,Firmicutes,FALSE,401,BLASTHIT,A8RYD9,[Clostridium] bolteae ATCC BAA-613,411902.CLOBOL_05098,Bacteria,"",411902,TrEMBL
2350839,"","",Erysipelotrichia,Glycosyl hydrolase| family 88,3.2.1.- {ECO:0000313|EMBL:EFY09044.1},Erysipelotrichaceae,HMPREF0357_11151,Erysipelothrix,0016798 hydrolase activity  acting on glycosyl bonds,Skin,Aerobe,,IPR010905,IPR008928|IPR012341,,"",,E7FVX4,GI:322463850|GI:489871550|EMBL-CDS:EFY09044.1|REFSEQ:WP_003775090.1,Erysipelotrichales,Erysipelothrix rhusiopathiae ATCC 19414.,FALSE,"","",PF07470,Firmicutes,FALSE,398,BLASTHIT,E7FVX4,Erysipelothrix rhusiopathiae ATCC 19414,"",Bacteria,"",525280,TrEMBL
2350887,"","",Bacilli,Glucuronyl hydrolase,"",Streptococcaceae,SP_0322,Streptococcus,0016787 hydrolase activity,Blood,Facultative,,IPR010905,IPR008928|IPR012341,,spn:SP_0322,,A0A0H2UND5,GI:446515602|GI:14971795|EMBL-CDS:AAK74498.1|REFSEQ:WP_000592948.1,Lactobacillales,Streptococcus pneumoniae serotype 4  (strain ATCC BAA-334 / TIGR4),TRUE,"","",PF07470,Firmicutes,FALSE,396,BLASTHIT,A0A0H2UND5,Streptococcus pneumoniae TIGR4,"",Bacteria,"",170187,TrEMBL
2351028,"",GH88,Clostridia,Glycosyl hydrolase| family 88,3.2.1.- {ECO:0000313|EMBL:EDN78551.1},Lachnospiraceae,RUMGNA_00961,Blautia,0016798 hydrolase activity  acting on glycosyl bonds,Gastrointestinal tract,Anaerobe,,IPR010905,IPR008928|IPR012341,,"",,A7B085,GI:490979668|GI:153796131|EMBL-CDS:EDN78551.1|REFSEQ:WP_004841431.1,Clostridiales,Ruminococcus gnavus  (strain ATCC 29149 / VPI C7-9),FALSE,"","",PF07470,Firmicutes,FALSE,405,BLASTHIT,A7B085,[Ruminococcus] gnavus ATCC 29149,411470.RUMGNA_00961,Bacteria,"",411470,TrEMBL
2351073,"","",Bacilli,Glucuronyl hydrolase,"",Lactobacillaceae,LBCZ_2494,Lactobacillus,0016787 hydrolase activity,Gastrointestinal tract,Facultative,,IPR010905,IPR008928|IPR012341,,"",,S6CCD8,GI:530677290|GI:640583704|EMBL-CDS:BAN75662.1|REFSEQ:WP_025013742.1,Lactobacillales,Lactobacillus casei subsp. casei ATCC 393.,FALSE,"","",PF07470,Firmicutes,FALSE,392,BLASTHIT,S6CCD8,Lactobacillus casei subsp. casei ATCC 393,"",Bacteria,"",219334,TrEMBL
2351084,"","",Tissierellia,Uncharacterized protein,"",Peptoniphilaceae,HMPREF9709_01630,Helcococcus,0003824 catalytic activity,Wound,"",,IPR010905,IPR008928|IPR012341,,"",,H3NQL9,GI:374560998|EMBL-CDS:EHR32349.1,Tissierellales,Helcococcus kunzii ATCC 51366.,FALSE,fig|883114.3.peg.1627,"",PF07470,Firmicutes,FALSE,394,BLASTHIT,H3NQL9,Helcococcus kunzii ATCC 51366,"",Bacteria,"",883114,TrEMBL
2351116,"",GH88,Bacilli,Glucuronyl hydrolase,"",Lactobacillaceae,LSEI_2668,Lactobacillus,0016787 hydrolase activity,Gastrointestinal tract,Facultative,,IPR010905,IPR008928|IPR012341,,lca:LSEI_2668,,Q034I5,GI:116106245|GI:116496095|GI:489692212|EMBL-CDS:ABJ71387.1|REFSEQ:WP_003596395.1|REFSEQ:YP_807829.1,Lactobacillales,Lactobacillus paracasei  (strain ATCC 334 / BCRC 17002 / CIP 107868 /KCTC 3260 / NRRL B-441),TRUE,fig|321967.11.peg.2612,"",PF07470,Firmicutes,FALSE,392,BLASTHIT,Q034I5,Lactobacillus paracasei ATCC 334,"",Bacteria,"",321967,TrEMBL
2351148,"",GH88,Bacilli,Glucuronyl hydrolase| putative,"",Enterococcaceae,EF_2272,Enterococcus,0016787 hydrolase activity,Gastrointestinal tract,Facultative,,IPR010905,IPR008928|IPR012341,,efa:EF2272,,Q832F7,GI:81585098|GI:29344241|GI:508211242|GI:29376776|GI:508175329|GI:488288620|EMBL-CDS:AAO82000.1|REFSEQ:NP_815930.1|REFSEQ:WP_002359828.1,Lactobacillales,Enterococcus faecalis  (strain ATCC 700802 / V583),TRUE,fig|226185.45.peg.1259,"",PF07470,Firmicutes,FALSE,395,BLASTHIT,Q832F7,Enterococcus faecalis V583,226185.EF2272,Bacteria,"",226185,TrEMBL
2351163,"",GH88,Mollicutes,Uncharacterized protein,"",Mycoplasmataceae,MBIO_0030,Mycoplasma,0003824 catalytic activity,Urogenital tract,Facultative,,IPR010905,IPR008928|IPR012341,,mfp:MBIO_0030,,C4XDS3,GI:238809505|EMBL-CDS:BAH69295.1,Mycoplasmatales,Mycoplasma fermentans  (strain ATCC 19989 / NBRC 14854 / NCTC 10117 /PG18),FALSE,fig|496833.3.peg.31,"",PF07470,Tenericutes,FALSE,401,BLASTHIT,C4XDS3,Mycoplasma fermentans PG18,496833.MBIO_0030,Bacteria,"",496833,TrEMBL
